Address,Latitude,Longitude,APC,LP,PDP,NNPP,Accredited_Voters,Registered_Voters,,,,,
"UDOAKWARI HALL II, AGUATA, ANAMBRA",6.0085842,7.1009488,0,88,1,0,92,424,,,,,
"UMUEZULU HALL I, AGUATA, ANAMBRA",6.0085842,7.1009488,2,106,1,0,111,421,,,,,
"UMUEZULU HALL II, AGUATA, ANAMBRA",6.0085842,7.1009488,0,88,0,1,90,364,,,,,
"CENTRAL SCHOOL I, AGUATA, ANAMBRA",6.0085842,7.1009488,4,188,2,2,202,966,,,,,
"CENTRAL SCHOOL II, AGUATA, ANAMBRA",6.0085842,7.1009488,1,188,2,2,208,937,,,,,
"PRY. SCHOOL, EZIHU I, AGUATA, ANAMBRA",6.0085842,7.1009488,0,175,1,0,179,565,,,,,
"PRY. SCHOOL, EZIHU II, AGUATA, ANAMBRA",6.0085842,7.1009488,0,125,1,4,138,471,,,,,
"ST. STEPHEN, AGUATA, ANAMBRA",6.0085842,7.1009488,1,85,0,2,95,355,,,,,
"UMUENEILI HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,1,182,1,0,185,575,,,,,
"COMMUNITY SCHOOL I, AGUATA, ANAMBRA",6.0085842,7.1009488,0,95,1,0,101,374,,,,,
"COMMUNITY SCHOOL II, AGUATA, ANAMBRA",6.0085842,7.1009488,4,107,0,0,112,407,,,,,
"EZI HALL I, AGUATA, ANAMBRA",6.0085842,7.1009488,1,131,4,0,138,425,,,,,
"EZI HALL II, AGUATA, ANAMBRA",6.0085842,7.1009488,1,114,3,1,123,358,,,,,
"ESISIAMA HALL I, AGUATA, ANAMBRA",6.0085842,7.1009488,0,82,1,0,83,226,,,,,
"ESISIAMA HALL II, AGUATA, ANAMBRA",6.0085842,7.1009488,2,40,0,0,43,128,,,,,
"IFITE HALL I, AGUATA, ANAMBRA",6.000187,7.0263285,0,111,1,0,121,389,,,,,
"IFITE HALL II, AGUATA, ANAMBRA",6.000187,7.0263285,1,71,1,0,89,295,,,,,
"AMORJI PRY. SCHOOL, AGUATA, ANAMBRA",6.0085842,7.1009488,1,213,8,0,311,1060,,,,,
"OFIYI SQUARE, AGUATA, ANAMBRA",6.0085842,7.1009488,0,0,0,0,267,753,,,,,
"IHUOWELE HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,0,191,3,0,230,657,,,,,
"EMEAGAM HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,2,62,2,0,133,396,,,,,
"CENTRAL SCHOOL, AGUATA, ANAMBRA",6.0085842,7.1009488,1,324,0,0,333,995,,,,,
"OZALA SCHOOL (VILL HALL), AGUATA, ANAMBRA",6.0085842,7.1009488,1,315,0,1,327,1246,,,,,
"OZALLA SCHOOL, AGUATA, ANAMBRA",6.0085842,7.1009488,0,0,0,0,179,653,,,,,
"PRY. SCHOOL, ISUOFIA, AGUATA, ANAMBRA",6.0289009,7.0538774,3,122,2,1,131,395,,,,,
"ISIAKU, AGUATA, ANAMBRA",6.0085842,7.1009488,1,245,1,0,259,726,,,,,
"EZIOKA HALL, AGUATA, ANAMBRA",6.0674484,7.0333499,0,250,0,0,266,759,,,,,
"IKEME PRY. SCHOL, AGUATA, ANAMBRA",6.0085842,7.1009488,2,159,6,1,252,794,,,,,
"CATHECUMEN NURSERY SCHOOL, AGUATA, ANAMBRA",6.0085842,7.1009488,1,112,0,0,129,467,,,,,
"COMMUNITY SCHOOL, AGUATA, ANAMBRA",6.0085842,7.1009488,2,133,2,0,148,535,,,,,
"ISIAKU HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,3,194,4,3,224,618,,,,,
"CENTRAL SCHOOL, AGUATA, ANAMBRA",6.0085842,7.1009488,14,37,42,0,177,722,,,,,
"COMMUNITY SCHOOL, AGUATA, ANAMBRA",6.0085842,7.1009488,12,25,24,1,128,408,,,,,
"OBINABO HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,0,112,7,1,127,359,,,,,
"TOWN HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,2,171,2,0,177,497,,,,,
"ELUAMA HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,2,112,5,1,129,332,,,,,
"PRY. SCHOOL, NKPLOGWU, AGUATA, ANAMBRA",5.9811969,7.0861513,2,58,3,2,67,198,,,,,
"LOCAL AUTHORITY PRY. SCHOOL, AGUATA, ANAMBRA",6.0085842,7.1009488,0,104,11,0,125,327,,,,,
"UMUONYIA HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,2,104,11,0,121,370,,,,,
"ISIOJI HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,1,66,8,0,77,213,,,,,
"NGWUAGU SQUARE, AGUATA, ANAMBRA",6.0085842,7.1009488,0,49,2,2,58,158,,,,,
"OGWUGWUNEZI HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,0,80,4,2,94,242,,,,,
"CENTRAL SCHOOL, NKPOLOGWU, AGUATA, ANAMBRA",5.9751075,7.0937161,0,67,0,0,69,219,,,,,
"COMMUNITY SCHOOL NKPOLOGWU, AGUATA, ANAMBRA",5.9811969,7.0861513,0,81,5,0,92,375,,,,,
"UDARA-EKE SQUARE, AGUATA, ANAMBRA",6.0120647,7.0881293,3,88,8,3,110,390,,,,,
"UMUDIKE HALL I, AGUATA, ANAMBRA",6.0085842,7.1009488,0,70,1,0,74,209,,,,,
"UMUDIKE HALL II, AGUATA, ANAMBRA",6.0085842,7.1009488,0,46,0,0,49,137,,,,,
"UMUDIKE HALL III, AGUATA, ANAMBRA",6.0085842,7.1009488,0,47,1,0,48,155,,,,,
"UMUDIKE HALL IV, AGUATA, ANAMBRA",6.0085842,7.1009488,1,43,1,0,48,138,,,,,
"CENTRAL SCHOOL I, AGUATA, ANAMBRA",6.0085842,7.1009488,0,88,0,2,93,320,,,,,
"CENTRAL SCHOOL II, AGUATA, ANAMBRA",6.0085842,7.1009488,1,64,0,2,78,291,,,,,
"CENTRAL SCHOOL III, AGUATA, ANAMBRA",6.0085842,7.1009488,0,31,0,0,33,120,,,,,
"CENTRAL SCHOOL III, AGUATA, ANAMBRA",6.0085842,7.1009488,0,54,0,0,33,120,,,,,
"CENTRAL SCHOOL V, AGUATA, ANAMBRA",6.0085842,7.1009488,0,38,0,0,40,135,,,,,
"CENTRAL SCHOOL VI, AGUATA, ANAMBRA",6.0085842,7.1009488,0,50,0,0,50,153,,,,,
"OBIUNO HALL II, AGUATA, ANAMBRA",6.0085842,7.1009488,1,60,2,0,67,189,,,,,
"OBIUNO HALL III, AGUATA, ANAMBRA",6.0085842,7.1009488,0,47,0,0,49,149,,,,,
